,Learn rate,Train loss,Test losses,Train Acc,Test Acc
0,9.999999747378752e-05,0.040821656584739685,0.14582517743110657,99.01333333333334,95.87
1,0.0002500000118743628,0.02347547933459282,0.13543424010276794,99.56,96.28
2,0.0005000000237487257,0.01552585233002901,0.12251671403646469,99.79333333333334,96.56
3,0.000750000006519258,0.01497991755604744,0.13038673996925354,99.80166666666666,96.64
4,0.0010000000474974513,0.013870934024453163,0.13712571561336517,99.795,96.55
5,0.0020000000949949026,0.014261276461184025,0.1580970138311386,99.76,96.61999999999999
6,0.004999999888241291,0.06423023343086243,0.18293265998363495,98.09833333333333,95.38
7,0.007499999832361937,3.6087076663970947,2.8562448024749756,46.44833333333334,52.96999999999999
8,0.009999999776482582,0.15457332134246826,0.2270134836435318,95.30333333333333,93.85
9,0.019999999552965164,2.1159274578094482,2.15541410446167,19.435,15.479999999999999
10,0.05000000074505806,3.225346326828003,2.1260576248168945,16.573333333333334,19.59
