,Layer1,Layer2,Train loss,Test losses,Train Acc,Test Acc
0,20.0,20.0,0.17327715456485748,0.2703355550765991,94.91833333333334,92.53
1,40.0,40.0,0.0956711620092392,0.19576135277748108,97.30166666666666,94.89999999999999
2,60.0,60.0,0.039613112807273865,0.15319274365901947,98.98333333333333,95.86
3,80.0,80.0,0.026386292651295662,0.14852118492126465,99.49166666666667,96.17
4,100.0,100.0,0.02662941813468933,0.14953307807445526,99.42999999999999,96.16
5,120.0,120.0,0.019695309922099113,0.140801802277565,99.675,96.44
6,140.0,140.0,0.015385002829134464,0.12760856747627258,99.78333333333333,96.59
7,160.0,160.0,0.016152948141098022,0.12729015946388245,99.76,96.67999999999999
8,180.0,180.0,0.01823236420750618,0.13864745199680328,99.71,96.43
9,200.0,200.0,0.01293219719082117,0.1257864534854889,99.85333333333334,96.59
